Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
REACT! at Berkeley,Inprogress,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/readersareleaders,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Readers are leaders,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/readingforresistance,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Reading for Resistance,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/rwrbe,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
"Reading, Writing, and Realizing the Berkeley Environment",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/rag,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Ready Action Go,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/RRG,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Real Estate Finance Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/rebuildingtogetheratberkeleycalcorps,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Rebuilding Together at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/reclaim,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Reclaim,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/recoveringeatingdisorderongoingsupport,LEAD Center Category: Political & Advocacy RSO - Advised by Millicent Morris Chaney
Recovering Eating Disorder Ongoing Support,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/recreationalrestaurantreviewers,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Recreational Restaurant Reviewers,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/redtentfoundation,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Red Tent Foundation,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/RGA,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Redefine Global Advisory,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ReentryAdvocacyProject,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Reentry Advocacy Project,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/BerkeleyRTSA,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Re-entry and Transfer Student Association,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ruf,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Reformed University Fellowship,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/refugeeyouthtutors,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Refugee Youth Tutors of Berkeley,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/regenerativefieldinstitute,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Regenerative Field Institute,Not Started,0,0,,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/RCSA,LEAD Center Category: Environmental & Sustainability - Advised by Sharon Daraphonhdeth
Regents' and Chancellor's Scholars Association,Approved,7,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/reikicircle,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Reiki Circle,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/remedymusicproject,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Remedy Music Project,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/remnant,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Remnant Fellowship,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/renterslegalassistance,LEAD Center Category: Spiritual -  Advised by Deepak Sharma
Renters' Legal Assistance,Approved,7,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/repercussions,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
repercussions,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/replay,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Replay at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ReproductiveJusticeProject,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Reproductive Justice Project,Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/researchanddevelopment,LEAD Center Category: Political & Advocacy Organization - Advised by Millicent Morris-Chaney
Research and Development at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/garesearchdisseminationcollaboration,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Research Dissemination Collaboration,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/residencehallassembly,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Residence Hall Assembly,Approved,4,2,Not Eligible,Sponsored Student Organizations,https://callink.berkeley.edu/actioncenter/organization/residentialserviceinitiative,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Residential Service Initiative,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/residentialsustainabilityeducationcoordinators,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Residential Sustainability Education Coordinators,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/Resistanceschoolberkeley,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Resistance School @ Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/resonance,LEAD Center Category: Political & Advocacy - Advised by Milicent Morris Chaney
Resonance,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/resourcegreen,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Resource Green,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/berkeley_high_restorative_justice,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Restorative Justice at Berkeley High,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/restorativejusticecommittee,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Restorative Justice Committee,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/restorativejusticeleague,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Restorative Justice League,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ReUSE,LEAD Center Category: Service RSO -  Advised by Millicent Morris-Chaney
ReUSE,Approved,7,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/RICS,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Review of International Conflict and Security,Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/revitalizinghopeandopportunity,LEAD Center Category: Publication RSO -  Advised by Millicent Morris Chaney [Interim]
Revitalizing Hope and Opportunity,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/revolution,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Revolution,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/rhetoricsociety,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
"Rhetoric Society at Berkeley, The",Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/RhetoricalActionCommittee,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Rhetorical Action Committee,Approved,3,2,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/rhetoricalhonorssociety,LEAD Center Category: Departmental RSO - Advised by Deepak Sharma
Rhetorical Honors Society,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/rhizome,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Rhizome Capital Management,Not Started,0,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/richmondesc,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Richmond ESC-Excellence Serving Our Community,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/richmondpaul,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Richmond Paul,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ridesforlives,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Rides for Lives (formerly CA Bikes International at Berkeley),Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/righttogivelife,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Right to Give Life,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/riseabove,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Rise Above,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/risetopeacethepeacestudiesstudentassociation,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
"Rise to Peace, the Peace Studies Student Association",Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/RISE,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Rising Immigrant Scholars through Education - RISE,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/robobears,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
RoboBears,Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/robogals,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Robogals,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/robomaster,"LEAD Center Category: Cultural & Identity/Women's Interest RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Robomaster at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/REY,LEAD Center Category: Technology RSO - Advised by Deepak Sharma
Robotics & Engineering for Youth,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/roboticsatberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Robotics at Berkeley,Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/therock,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
"Rock, The",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/rollerblade,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Rollerblade,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/Mcnair,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Ronald E. McNair Scholars at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/roomonethousand,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Room One Thousand,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/roomtoread,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Room to Read,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/RooseveltInstitute,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
